test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Algebra,Linear equations in one variable,Easy,"If $2a = 10$, what is the value of $5a$?",,,,,25,25,The problem gives the equation $2a=10$ and asks for the value of the expression $5a$.,"First, solve the equation $2a=10$ for $a$. Divide both sides by 2: $\frac{2a}{2} = \frac{10}{2}$.",This gives $a = 5$.,Now substitute this value of $a$ into the expression $5a$.,"The expression becomes $5 \times 5$, which equals 25.",
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $\frac{x}{2} + 3 = 7$?,2,5,8,20,C,,The given equation is $\frac{x}{2} + 3 = 7$.,"To isolate the term with $x$, first subtract 3 from both sides: $\frac{x}{2} + 3 - 3 = 7 - 3$.",This simplifies to $\frac{x}{2} = 4$.,"To solve for $x$, multiply both sides of the equation by 2: $2 \times \frac{x}{2} = 4 \times 2$.",This gives the solution $x = 8$.,
Math,Algebra,Linear equations in one variable,Easy,Maria has $\$50 in a savings account. Each week she deposits $\$10. After how many weeks will she have a total of $\$120 in the account?,5,7,12,17,B,,Let $w$ be the number of weeks. Maria starts with $\$50 and adds $\$10 each week. The total amount can be represented by the expression $50 + 10w$.,We want to find out when the total amount will be $\$120. We can set up the equation: $50 + 10w = 120$.,"To solve for $w$, first subtract 50 from both sides: $50 - 50 + 10w = 120 - 50$.",This simplifies to $10w = 70$.,"Now, divide both sides by 10: $\frac{10w}{10} = \frac{70}{10}$.",This gives $w = 7$. It will take 7 weeks.
Math,Algebra,Linear equations in one variable,Easy,What value of $x$ is the solution to the equation $6x - 1 = 4x + 7$?,,,,,4,4,The equation is $6x - 1 = 4x + 7$. We need to isolate $x$.,"First, get all the $x$ terms on one side. Subtract $4x$ from both sides: $6x - 4x - 1 = 4x - 4x + 7$.",This simplifies to $2x - 1 = 7$.,"Next, get all the constant terms on the other side. Add 1 to both sides: $2x - 1 + 1 = 7 + 1$.",This simplifies to $2x = 8$.,"Finally, divide by 2 to solve for $x$: $\frac{2x}{2} = \frac{8}{2}$, which gives $x=4$."
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $-5x = 20$?,$-100$,$-4$,$4$,$25$,B,,The given equation is $-5x = 20$.,"To solve for $x$, we need to isolate it by dividing both sides of the equation by the coefficient of $x$, which is -5.",Divide both sides by -5: $\frac{-5x}{-5} = \frac{20}{-5}$.,This simplifies to $x = -4$.,The solution to the equation is -4.,
Math,Algebra,Linear equations in one variable,Easy,"If $x + 7 = 10$, what is the value of $2x - 1$?",3,5,6,33,B,,"First, we must solve the equation $x + 7 = 10$ for the value of $x$.",Subtract 7 from both sides: $x + 7 - 7 = 10 - 7$.,This simplifies to $x = 3$.,"Now, we substitute this value of $x$ into the expression $2x - 1$.",The expression becomes $2(3) - 1$.,"This evaluates to $6 - 1$, which is 5."
Math,Algebra,Linear equations in one variable,Easy,Which of the following equations is equivalent to $10x + 5 = 25$?,$10x = 30$,$2x + 1 = 5$,$2x + 5 = 5$,$x + 5 = 25$,B,,Two equations are equivalent if they have the same solution.,"The given equation is $10x + 5 = 25$. Notice that every term in the equation ($10x$, $5$, and $25$) is divisible by 5.",Let's perform the same operation on both sides of the equation to find an equivalent form. Divide the entire equation by 5.,This gives $\frac{10x + 5}{5} = \frac{25}{5}$.,Distributing the division on the left side gives $\frac{10x}{5} + \frac{5}{5} = 5$.,This simplifies to the equivalent equation $2x + 1 = 5$.
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $x + x + 1 = 15$?,,,,,7,7,The given equation is $x + x + 1 = 15$. This problem is like finding two consecutive integers that sum to 15.,"First, combine the like terms on the left side of the equation: $x + x = 2x$.",The equation becomes $2x + 1 = 15$.,"Next, subtract 1 from both sides: $2x + 1 - 1 = 15 - 1$.",This simplifies to $2x = 14$.,"Finally, divide by 2: $\frac{2x}{2} = \frac{14}{2}$, which gives $x = 7$."
Math,Algebra,Linear equations in one variable,Easy,What value of $x$ is the solution to the equation $15 = 20 - x$?,,,,,5,5,The equation is $15 = 20 - x$. Our goal is to solve for $x$.,"To get the term with $x$ by itself, subtract 20 from both sides: $15 - 20 = 20 - 20 - x$.",This simplifies to $-5 = -x$.,"To find the value of positive $x$, multiply both sides of the equation by -1.","$(-1)(-5) = (-1)(-x)$, which results in $5 = x$.",The solution is $x=5$.
Math,Algebra,Linear equations in one variable,Easy,"If $\frac{1}{3}y = 6$, what is the value of $y$?",2,3,9,18,D,,The given equation is $\frac{1}{3}y = 6$. This can also be written as $\frac{y}{3} = 6$.,"To solve for $y$, we need to isolate it. Currently, $y$ is being divided by 3.","To undo the division, multiply both sides of the equation by 3.",$3 \times \frac{y}{3} = 6 \times 3$.,This simplifies to $y = 18$.,
Math,Algebra,Linear equations in one variable,Easy,"A phone plan has a monthly fee of $\$25$ plus $\$0.10$ for each text message sent. If last month's bill was $\$28, how many text messages were sent?",3,10,30,55,C,,Let $t$ be the number of text messages sent.,The total cost is the sum of the monthly fee and the cost of the texts. This can be expressed as $25 + 0.10t$.,"The total bill was $\$28, so we can set up the equation: $25 + 0.10t = 28$.","Subtract 25 from both sides to find the cost of the texts alone: $0.10t = 28 - 25$, which is $0.10t = 3$.","To find $t$, divide both sides by 0.10: $t = \frac{3}{0.10}$.","This gives $t = 30$. So, 30 text messages were sent."
Math,Algebra,Linear equations in one variable,Easy,$9 = 2b + 1$. What is the solution for $b$?,,,,,4,4,"The equation is $9 = 2b + 1$. The variable is on the right side, but the process is the same.","First, isolate the term with the variable, $2b$. Subtract 1 from both sides: $9 - 1 = 2b + 1 - 1$.",This simplifies to $8 = 2b$.,"To solve for $b$, divide both sides by 2: $\frac{8}{2} = \frac{2b}{2}$.",This gives the solution $4 = b$.,
Math,Algebra,Linear equations in one variable,Easy,What value of $w$ is the solution to the equation $7(w - 1) = 21$?,2,3,4,15,C,,The given equation is $7(w - 1) = 21$.,A simple first step is to divide both sides by 7 to remove the factor outside the parentheses: $\frac{7(w-1)}{7} = \frac{21}{7}$.,This simplifies the equation to $w - 1 = 3$.,"Now, solve for $w$ by adding 1 to both sides: $w - 1 + 1 = 3 + 1$.",The solution is $w = 4$.,
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $12 - \frac{x}{3} = 8$?,,,,,12,12,The equation is $12 - \frac{x}{3} = 8$.,"First, isolate the term containing $x$. Subtract 12 from both sides: $12 - 12 - \frac{x}{3} = 8 - 12$.",This simplifies to $-\frac{x}{3} = -4$.,"To solve for a positive $x$, we can multiply both sides by -3.",This gives $(-3) \times (-\frac{x}{3}) = (-4) \times (-3)$.,The solution is $x=12$.
Math,Algebra,Linear equations in one variable,Easy,What value of $x$ is the solution to the equation $5x - 4x + 10 = 10$?,$-20$,$0$,$1$,$20$,B,,The given equation is $5x - 4x + 10 = 10$.,"First, combine the like terms on the left side of the equation: $5x - 4x = 1x$, or just $x$.",The equation simplifies to $x + 10 = 10$.,"To solve for $x$, subtract 10 from both sides: $x + 10 - 10 = 10 - 10$.",This gives the solution $x=0$.,
Math,Algebra,Linear equations in one variable,Easy,What value of $x$ is the solution to the equation $3x + 4 = 19$?,$3$,$5$,$7.67$,$12$,B,,"The given equation is $3x + 4 = 19$. To solve for $x$, we first need to isolate the term with $x$.",Subtract 4 from both sides of the equation: $3x + 4 - 4 = 19 - 4$.,This simplifies to $3x = 15$.,"Now, divide both sides by 3 to find the value of $x$: $\frac{3x}{3} = \frac{15}{3}$.",This gives the solution $x = 5$.,
Math,Algebra,Linear equations in a single variable,Easy,$23 = 5p + 3$. What is the value of $p$?,,,,,4,4,The given equation is $23 = 5p + 3$. The goal is to isolate the variable $p$.,"First, subtract 3 from both sides of the equation: $23 - 3 = 5p + 3 - 3$.",This simplifies to $20 = 5p$.,"Next, divide both sides by 5 to solve for $p$: $\frac{20}{5} = \frac{5p}{5}$.",This gives the solution $4 = p$.,
Math,Algebra,Linear equations in one variable,Easy,What value of $y$ is the solution to the equation $8y + 2 = 3y + 22$?,$2.2$,$4$,$5$,$20$,B,,The equation is $8y + 2 = 3y + 22$. We need to get the variable terms on one side and the constant terms on the other.,Subtract $3y$ from both sides: $8y - 3y + 2 = 3y - 3y + 22$.,This simplifies to $5y + 2 = 22$.,"Next, subtract 2 from both sides: $5y + 2 - 2 = 22 - 2$.",This simplifies to $5y = 20$.,"Finally, divide by 5: $\frac{5y}{5} = \frac{20}{5}$, which gives $y=4$."
Math,Algebra,Linear equations in one variable,Easy,$9z - 4z - 5 = 15$. What is the solution for $z$?,,,,,4,4,The given equation is $9z - 4z - 5 = 15$.,"First, combine the like terms on the left side: $9z - 4z = 5z$.",The equation becomes $5z - 5 = 15$.,"Next, add 5 to both sides of the equation: $5z - 5 + 5 = 15 + 5$.",This simplifies to $5z = 20$.,"Divide both sides by 5 to find $z$: $\frac{5z}{5} = \frac{20}{5}$, which gives $z=4$."
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $\frac{x}{6} = 3$?,$0.5$,$2$,$9$,$18$,D,,The given equation is $\frac{x}{6} = 3$.,"To solve for $x$, we need to isolate it. Currently, $x$ is being divided by 6.","To undo the division, multiply both sides of the equation by 6.",$6 \times \frac{x}{6} = 3 \times 6$.,This simplifies to $x = 18$.,
Math,Algebra,Linear equations in one variable,Easy,$6(k-2) = 18$. What value of $k$ is the solution to this equation?,,,,,5,5,The given equation is $6(k-2) = 18$.,One method is to first divide both sides by 6: $\frac{6(k-2)}{6} = \frac{18}{6}$.,This simplifies to $k-2 = 3$.,"Now, add 2 to both sides to solve for $k$: $k - 2 + 2 = 3 + 2$.",The solution is $k=5$.,
Math,Algebra,Linear equations in one variable,Easy,The price of one movie ticket is $\$8. A group of friends paid a total of $\$56 for tickets. How many friends were in the group?,6,7,8,48,B,,Let $n$ be the number of friends in the group.,The total cost is the price per ticket multiplied by the number of friends. This can be modeled by the equation $8n = 56$.,"To find the number of friends, $n$, solve the equation for $n$.",Divide both sides of the equation by 8: $\frac{8n}{8} = \frac{56}{8}$.,This simplifies to $n = 7$. There were 7 friends in the group.,
Math,Algebra,Linear equations in one variable,Easy,"If $x - 3 = 4$, what is the value of $3x$?",,,,,21,21,"First, we need to solve the equation $x - 3 = 4$ for the value of $x$.",Add 3 to both sides of the equation: $x - 3 + 3 = 4 + 3$.,This gives $x = 7$.,The question asks for the value of the expression $3x$.,Substitute the value $x=7$ into the expression: $3(7)$.,This evaluates to 21.
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $5x + 20 = 10$?,$-6$,$-2$,$2$,$6$,B,,"The equation is $5x + 20 = 10$. To solve for $x$, start by isolating the $x$ term.",Subtract 20 from both sides: $5x + 20 - 20 = 10 - 20$.,This simplifies to $5x = -10$.,"Now, divide both sides by 5: $\frac{5x}{5} = \frac{-10}{5}$.",The solution is $x = -2$.,
Math,Algebra,Linear equations in a single variable,Easy,$25 - y = 11$. What value of $y$ is the solution to this equation?,,,,,14,14,The equation is $25 - y = 11$.,"To solve for $y$, we can first subtract 25 from both sides: $25 - 25 - y = 11 - 25$.",This simplifies to $-y = -14$.,"To find the value of positive $y$, multiply both sides of the equation by -1.",$(-1)(-y) = (-1)(-14)$.,The solution is $y=14$.
Math,Algebra,Linear equations in one variable,Easy,What value of $z$ satisfies the equation $\frac{1}{4}z + 2 = 5$?,$3$,$1.75$,$12$,$28$,C,,The given equation is $\frac{1}{4}z + 2 = 5$.,"First, subtract 2 from both sides to isolate the term with $z$: $\frac{1}{4}z + 2 - 2 = 5 - 2$.",This simplifies to $\frac{1}{4}z = 3$. This is the same as $\frac{z}{4} = 3$.,"To solve for $z$, multiply both sides by 4: $4 \times \frac{z}{4} = 3 \times 4$.",This gives the solution $z = 12$.,
Math,Algebra,Linear equations in one variable,Easy,"The perimeter of a rectangle is 26 centimeters. If the width of the rectangle is 4 centimeters, what is its length, in centimeters?",,,,,9,9,"The formula for the perimeter $P$ of a rectangle is $P = 2l + 2w$, where $l$ is the length and $w$ is the width.",We are given that the perimeter $P=26$ cm and the width $w=4$ cm.,Substitute the given values into the formula: $26 = 2l + 2(4)$.,Simplify the equation: $26 = 2l + 8$.,"Subtract 8 from both sides: $26 - 8 = 2l$, which gives $18 = 2l$.","Divide by 2 to find the length: $\frac{18}{2} = l$, so $l=9$. The length is 9 cm."
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $7m + 8 = 8$?,$-1$,$0$,$1$,$16/7$,B,,The given equation is $7m + 8 = 8$.,"To solve for $m$, first subtract 8 from both sides of the equation: $7m + 8 - 8 = 8 - 8$.",This simplifies to $7m = 0$.,"Now, divide both sides by 7: $\frac{7m}{7} = \frac{0}{7}$.",This gives the solution $m=0$.,
Math,Algebra,Linear equations in a single variable,Easy,$11x = 10x + 7$. What value of $x$ is the solution to the given equation?,,,,,7,7,The given equation is $11x = 10x + 7$.,"To solve for $x$, we need to gather all the terms involving $x$ on one side of the equation.",Subtract $10x$ from both sides: $11x - 10x = 10x - 10x + 7$.,"Combining the like terms on the left side gives $1x$, or simply $x$.",The equation simplifies to $x = 7$.,
Math,Algebra,Linear equations in one variable,Easy,"After depositing $\$20 into her savings account each week for 5 weeks, Sarah's account balance is $\$150. What was her starting balance?",$\$50,$\$100,$\$130,$\$250,A,,"First, calculate the total amount Sarah deposited. She deposited $\$20 per week for 5 weeks.",Total deposits = $20 \times 5 = \$100$.,Let $S$ be the starting balance. The final balance is the starting balance plus the total deposits. This can be written as an equation: $S + 100 = 150$.,"To find the starting balance $S$, subtract 100 from both sides of the equation: $S + 100 - 100 = 150 - 100$.",This gives $S = 50$. The starting balance was $\$50.,
Math,Algebra,Linear equations in one variable,Easy,$40 = 8(n+1)$. What is the solution for $n$?,,,,,4,4,The given equation is $40 = 8(n+1)$.,"To solve for $n$, we can first divide both sides of the equation by 8: $\frac{40}{8} = \frac{8(n+1)}{8}$.",This simplifies to $5 = n+1$.,"Now, subtract 1 from both sides to isolate $n$: $5 - 1 = n + 1 - 1$.",This gives the solution $4=n$.,
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $-4x = 32$?,$-8$,$-28$,$8$,$36$,A,,The given equation is $-4x = 32$.,"To solve for $x$, we need to divide both sides by the coefficient of $x$, which is -4.",Divide both sides by -4: $\frac{-4x}{-4} = \frac{32}{-4}$.,The left side simplifies to $x$. The right side simplifies to $-8$.,The solution is $x = -8$.,
Math,Algebra,Linear equations in a single variable,Easy,$18 - 2x = 10$. What value of $x$ is the solution to this equation?,,,,,4,4,The given equation is $18 - 2x = 10$.,"To isolate the term with $x$, subtract 18 from both sides: $18 - 18 - 2x = 10 - 18$.",This simplifies to $-2x = -8$.,"Now, divide both sides by -2 to solve for $x$: $\frac{-2x}{-2} = \frac{-8}{-2}$.",This results in $x=4$.,
Math,Algebra,Linear equations in one variable,Easy,"If $2x + 1 = 9$, what is the value of $x-1$?",$3$,$4$,$5$,$8$,A,,"First, solve the equation $2x + 1 = 9$ for $x$.","Subtract 1 from both sides: $2x = 9 - 1$, which gives $2x = 8$.","Divide both sides by 2: $\frac{2x}{2} = \frac{8}{2}$, which gives $x=4$.",The question asks for the value of the expression $x-1$.,Substitute the value $x=4$ into the expression: $4-1$.,This evaluates to 3.
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $2k - 5k = 21$?,,,,,-7,-7,The given equation is $2k - 5k = 21$.,"First, combine the like terms on the left side: $2k - 5k = -3k$.",The equation simplifies to $-3k = 21$.,"To solve for $k$, divide both sides by -3: $\frac{-3k}{-3} = \frac{21}{-3}$.",This gives the solution $k = -7$.,
Math,Algebra,Linear equations in one variable,Easy,"A bathtub contains 10 gallons of water and is draining at a rate of 2 gallons per minute. How many minutes, $m$, will it take for the bathtub to be empty?",5,8,12,20,A,,Let $m$ be the number of minutes.,The amount of water drained after $m$ minutes is $2m$. The initial amount is 10 gallons.,"To find when the tub is empty, we need to find when the amount of water drained equals the initial amount. a model for this is $10 - 2m = 0$.",Add $2m$ to both sides: $10 = 2m$.,Divide by 2 to solve for $m$: $\frac{10}{2} = \frac{2m}{2}$.,This gives $m=5$. It will take 5 minutes.
Math,Algebra,Linear equations in a single variable,Easy,"If $\frac{2}{5}x = 4$, what is the value of $x$?",,,,,10,10,The given equation is $\frac{2}{5}x = 4$.,"To solve for $x$, we can multiply both sides by the reciprocal of the fraction $\frac{2}{5}$, which is $\frac{5}{2}$.",Multiply both sides by $\frac{5}{2}$: $(\frac{5}{2}) \times (\frac{2}{5}x) = 4 \times (\frac{5}{2})$.,The left side simplifies to $x$.,The right side is $4 \times \frac{5}{2} = \frac{20}{2} = 10$.,"So, the solution is $x=10$."
Math,Algebra,Linear equations in one variable,Easy,Which of the following equations is equivalent to $3x - 6 = 9$?,$3x = 3$,$x - 6 = 3$,$x - 2 = 3$,$3x - 2 = 3$,C,,"Two equations are equivalent if they can be transformed into one another by performing the same operation on both sides, or if they have the same solution.",Let's analyze the original equation: $3x - 6 = 9$.,"Notice that every term in the equation ($3x$, $-6$, and $9$) is divisible by 3.",Let's divide both sides of the equation by 3: $\frac{3x - 6}{3} = \frac{9}{3}$.,Distribute the division on the left side: $\frac{3x}{3} - \frac{6}{3} = 3$.,This simplifies to the equivalent equation $x - 2 = 3$.
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $x + 12 = 20$?,,,,,8,8,The given equation is $x + 12 = 20$.,"To solve for $x$, we need to isolate it on one side of the equation.",Subtract 12 from both sides of the equation: $x + 12 - 12 = 20 - 12$.,The left side simplifies to $x$.,The right side simplifies to 8.,"Thus, the solution is $x = 8$."
Math,Algebra,Linear equations in one variable,Easy,"A car rental company charges a fee of $\$50$ plus $\$0.25$ per mile driven. If a customer's total bill was $\$60, how many miles were driven?",4,10,40,240,C,,Let $m$ represent the number of miles driven.,The total cost can be represented by the equation: Total Cost = Fixed Fee + (Cost per mile) x (Number of miles).,Substitute the given values into the equation: $60 = 50 + 0.25m$.,"To solve for $m$, first subtract 50 from both sides: $60 - 50 = 0.25m$, which simplifies to $10 = 0.25m$.","Now, divide both sides by 0.25: $\frac{10}{0.25} = m$.","Since $0.25$ is the same as $1/4$, dividing by $1/4$ is the same as multiplying by 4. So, $m = 10 \times 4 = 40$. The customer drove 40 miles."
Math,Algebra,Linear equations in one variable,Easy,What value of $x$ is the solution to the equation $x - 9 = 2$?,$-7$,$7$,$11$,$18$,C,,The given equation is $x - 9 = 2$.,"To solve for $x$, we need to isolate it on one side of the equation.",Add 9 to both sides of the equation: $x - 9 + 9 = 2 + 9$.,This simplifies to $x = 11$.,"Thus, the solution is 11.",
Math,Algebra,Linear equations in one variable,Easy,$y + 15 = 22$. What value of $y$ is the solution to the given equation?,,,,,7,7,The given equation is $y + 15 = 22$.,"To solve for $y$, we need to isolate the variable.",Subtract 15 from both sides of the equation: $y + 15 - 15 = 22 - 15$.,This simplifies to $y = 7$.,The value of $y$ that is the solution to the equation is 7.,
Math,Algebra,Linear equations in one variable,Easy,What value of $x$ is the solution to the equation $4x - 3 = 17$?,$3.5$,$5$,$8$,$20$,B,,The given equation is $4x - 3 = 17$.,"To isolate the term with $x$, add 3 to both sides of the equation: $4x - 3 + 3 = 17 + 3$.",This simplifies to $4x = 20$.,"Now, divide both sides by 4 to solve for $x$: $\frac{4x}{4} = \frac{20}{4}$.",This gives the solution $x = 5$.,
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $\frac{z}{4} + 1 = 3$?,,,,,8,8,The given equation is $\frac{z}{4} + 1 = 3$.,"First, subtract 1 from both sides to isolate the term with $z$: $\frac{z}{4} + 1 - 1 = 3 - 1$.",This simplifies to $\frac{z}{4} = 2$.,"To solve for $z$, multiply both sides of the equation by 4: $4 \times \frac{z}{4} = 2 \times 4$.",This gives the solution $z = 8$.,
Math,Algebra,Linear equations in one variable,Easy,"The perimeter of a rectangle is 30 feet. If the length of the rectangle is 10 feet, what is its width, in feet?",5,10,15,20,A,,"The formula for the perimeter $P$ of a rectangle is $P = 2l + 2w$, where $l$ is the length and $w$ is the width.",We are given that the perimeter $P = 30$ feet and the length $l = 10$ feet.,Substitute the given values into the formula: $30 = 2(10) + 2w$.,Simplify the equation: $30 = 20 + 2w$.,"Subtract 20 from both sides: $30 - 20 = 2w$, which gives $10 = 2w$.","Divide both sides by 2 to find the width: $\frac{10}{2} = w$, which results in $w = 5$. The width is 5 feet."
Math,Algebra,Linear equations in one variable,Easy,"If $4p = 12$, what is the value of $p+5$?",,,,,8,8,"First, solve the equation $4p=12$ for the variable $p$.",Divide both sides of the equation by 4: $\frac{4p}{4} = \frac{12}{4}$.,This gives $p = 3$.,The problem asks for the value of the expression $p+5$.,Substitute the value $p=3$ into the expression: $3+5$.,The expression evaluates to 8.
Math,Algebra,Linear equations in one variable,Easy,What value of $x$ is the solution to the equation $8x = 6x + 10$?,$0.7$,$2$,$5$,$10$,C,,The given equation is $8x = 6x + 10$.,"To solve for $x$, gather all terms with $x$ on one side. Subtract $6x$ from both sides: $8x - 6x = 6x - 6x + 10$.",This simplifies to $2x = 10$.,"Now, divide both sides by 2 to find the value of $x$: $\frac{2x}{2} = \frac{10}{2}$.",This gives the solution $x = 5$.,
Math,Algebra,Linear equations in one variable,Easy,$3x + 5x = 40$. What is the solution to this equation?,,,,,5,5,The given equation is $3x + 5x = 40$.,"First, combine the like terms on the left side of the equation: $3x + 5x = 8x$.",The equation simplifies to $8x = 40$.,"To solve for $x$, divide both sides by 8: $\frac{8x}{8} = \frac{40}{8}$.",This gives the solution $x = 5$.,
Math,Algebra,Linear equations in one variable,Easy,What is the solution to the equation $-2(x+5) = -14$?,$-12$,$-2$,$2$,$12$,C,,The given equation is $-2(x+5) = -14$.,"To solve, first divide both sides of the equation by -2: $\frac{-2(x+5)}{-2} = \frac{-14}{-2}$.",This simplifies to $x+5 = 7$.,"Now, subtract 5 from both sides to isolate $x$: $x + 5 - 5 = 7 - 5$.",The solution is $x = 2$.,
Math,Algebra,Linear equations in one variable,Easy,What value of $y$ is the solution to the equation $6y = -24$?,,,,,-4,-4,The given equation is $6y = -24$.,"To solve for $y$, we need to divide both sides by the coefficient of $y$, which is 6.",Divide both sides by 6: $\frac{6y}{6} = \frac{-24}{6}$.,This simplifies to $y = -4$.,The solution is -4.,
Math,Algebra,Linear equations in one variable,Easy,A sister is 5 years older than her brother. Their combined age is 21. How old is the brother?,8,13,16,26,A,,"Let $b$ be the brother's age. Since the sister is 5 years older, her age can be represented as $b+5$.","Their combined age is 21, so we can set up the equation: $b + (b+5) = 21$.",Combine the like terms on the left side: $2b + 5 = 21$.,Subtract 5 from both sides of the equation: $2b = 21 - 5$.,This simplifies to $2b = 16$.,Divide by 2 to find the brother's age: $b = \frac{16}{2} = 8$. The brother is 8 years old.
