test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The graph above models a company's annual revenue, in millions of dollars, from 2015 to 2020. What was the approximate increase in revenue from 2016 to 2019?",$1.5 million,$2.0 million,$2.5 million,$3.0 million,C,,The question asks for the increase in revenue between the years 2016 and 2019.,"First, find the revenue in 2016. Locate 2016 on the horizontal axis and find the corresponding point on the graph. The revenue is approximately $1.5 million.","Next, find the revenue in 2019. Locate 2019 on the horizontal axis and find the corresponding point on the graph. The revenue is approximately $4.0 million.",The increase in revenue is the difference between the 2019 value and the 2016 value.,Calculate the difference: $\$4.0 \text{ million} - \$1.5 \text{ million} = \$2.5 \text{ million}$.,The increase in revenue was approximately $2.5 million.
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above shows the final grade for students based on the number of classes they missed. A line of best fit for the data is also shown. Which of the following equations could represent the line of best fit?,$y = 4x + 95$,$y = 4x - 95$,$y = -4x + 95$,$y = -4x - 95$,C,,The question asks for a possible equation of the line of best fit. We must determine the signs of the slope and y-intercept from the graph.,"First, look at the slope. As the number of missed classes (x-axis) increases, the final grade (y-axis) tends to decrease. This means the line of best fit has a negative slope. This eliminates options A and B.","Next, look at the y-intercept. This is the predicted grade for a student who missed 0 classes ($x=0$). The line crosses the y-axis at a high positive value, approximately 95.","Compare the remaining options, C and D. Option C, $y = -4x + 95$, has a negative slope ($-4$) and a positive y-intercept ($+95$). Option D, $y = -4x - 95$, has a negative slope but a negative y-intercept.","The graph clearly shows a positive y-intercept. Therefore, option C is the only equation that fits the data.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The line graph above shows the depth of snow at a ski resort over a 6-hour period. What was the depth of the snow at the 3-hour mark?,15 inches,18 inches,21 inches,24 inches,C,,"The question asks for the snow depth at a specific time, 3 hours.","Locate '3' on the horizontal axis, which represents 'Time (hours)'.",Move vertically up from the 3-hour mark until you intersect the line graph.,"From that point on the graph, move horizontally to the left to read the corresponding value on the vertical axis, 'Snow Depth (inches)'.",The value on the vertical axis is 21 inches.,"Thus, the snow depth at 3 hours was 21 inches."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The line graph above shows the balance in a savings account at the end of each month for six months. What was the approximate balance in the account at the end of Month 4?,$300,$350,$400,$450,C,,The question asks for the account balance at the end of Month 4.,Locate 'Month 4' on the horizontal axis of the line graph.,Move vertically up from 'Month 4' to the corresponding data point on the line.,"From that data point, move horizontally to the left to read the value on the vertical axis, which represents the 'Account Balance ($)'.",The value on the vertical axis corresponding to Month 4 is $400.,
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above shows the relationship between exercise intensity, measured in watts, and a person's heart rate, in beats per minute (bpm). Which of the following statements best describes the association shown?","As exercise intensity increases, heart rate tends to increase.","As exercise intensity increases, heart rate tends to decrease.",There is no clear association between exercise intensity and heart rate.,Heart rate is highest at the lowest exercise intensity.,A,,"The question asks to describe the association, or relationship, between the two variables in the scatterplot.",Observe the general trend of the data points. The horizontal axis represents 'Exercise Intensity (watts)' and the vertical axis represents 'Heart Rate (bpm)'.,"As you look from left to right along the horizontal axis (intensity is increasing), the data points tend to be higher on the vertical axis (heart rate is increasing).","This indicates a positive association: as one variable increases, the other also tends to increase.",Choice A accurately describes this positive association.,"Choices B and D describe a negative association, and choice C suggests no relationship, none of which match the upward trend of the data."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"A pizza is taken out of an oven and left to cool on a counter. The line graph above shows its temperature, in degrees Fahrenheit (\u00b0F), recorded every 5 minutes. During which of the following 5-minute intervals did the temperature of the pizza decrease at the greatest average rate?",Between 0 and 5 minutes,Between 10 and 15 minutes,Between 20 and 25 minutes,Between 30 and 35 minutes,A,,The question asks for the interval with the greatest average rate of decrease in temperature.,"On the line graph, the average rate of change is represented by the steepness (slope) of the line segment in an interval.",A greater rate of decrease means a steeper downward-sloping line segment.,Visually inspect the steepness of the line segments for the given 5-minute intervals.,"The line segment between 0 and 5 minutes is the steepest, indicating the most rapid drop in temperature.","The segments for later intervals become progressively less steep, indicating the rate of cooling is slowing down."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above shows the hours spent per week by students watching television and their grade point average (GPA). The line of best fit for the data is also shown. According to the line of best fit, what is the predicted GPA for a student who watches 10 hours of television per week?",2.0,2.5,3.0,3.5,C,,The question asks to use the line of best fit to predict a GPA based on television hours.,"Locate '10' on the horizontal axis, which represents 'Hours of TV per Week'.",Move vertically up from the 10-hour mark until you intersect the line of best fit.,"From that point on the line, move horizontally to the left to read the corresponding value on the vertical axis, which represents 'Grade Point Average (GPA)'.",The value on the vertical axis is exactly 3.0.,"Therefore, the predicted GPA is 3.0."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above relates the number of hours an employee has worked to the number of units they have produced. Which of the following could be an equation for the line of best fit for the data shown?,y = 10x,y = 10x + 50,y = -10x + 50,y = 50x,A,,The question asks for a possible equation for the line of best fit.,"First, analyze the trend of the data to determine the slope. As the hours worked (x-axis) increase, the units produced (y-axis) also increase. This indicates a positive slope. This eliminates option C.","Next, analyze the y-intercept, which is the value of y when x=0. The data points cluster around the origin (0,0), suggesting that with 0 hours worked, 0 units are produced. The line of best fit should therefore pass through or very close to the origin, meaning the y-intercept is approximately 0.","Let's examine the remaining options. Option A, y = 10x, has a positive slope and a y-intercept of 0. Option B, y = 10x + 50, has a positive slope but a y-intercept of 50. Option D, y = 50x, has a positive slope and a y-intercept of 0, but the slope appears too steep for the data shown (e.g., at x=8, y seems to be around 80, not 400).","Option A, y=10x, is the most plausible equation as it has a positive slope and a y-intercept of 0, which aligns with the visual data.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,A swimmer is practicing for a competition. The line graph above shows the time it took her to complete each of her first five laps. In which lap was her time the fastest?,Lap 1,Lap 3,Lap 4,Lap 5,C,,The question asks for the lap with the fastest time.,A faster time corresponds to a smaller value on the vertical axis ('Time (seconds)').,"Therefore, we need to find the lowest point on the line graph.",Examine the data points for each lap.,The point corresponding to Lap 4 is the lowest point on the graph.,This means the swimmer had the fastest time on Lap 4.
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The line graph above shows the water level in a reservoir, in meters, on the first day of each month for a year. Approximately how much did the water level decrease from May 1 to September 1?",8 meters,10 meters,12 meters,15 meters,C,,The question asks for the total decrease in water level between May 1 and September 1.,"First, find the water level on May 1. Locate 'May' on the horizontal axis and find the corresponding point. The value on the vertical axis is 32 meters.","Next, find the water level on September 1. Locate 'Sep' on the horizontal axis and find the corresponding point. The value on the vertical axis is 20 meters.",Calculate the difference between the two levels to find the decrease: $32 \text{ meters} - 20 \text{ meters} = 12 \text{ meters}$.,The water level decreased by 12 meters.,
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot above shows the age of a car, in years, and its market value, in thousands of dollars. Which of the following statements best describes the relationship shown in the scatterplot?","As the age of the car increases, its value tends to increase.","As the age of the car increases, its value tends to decrease.",The value of the car remains constant regardless of its age.,There is no relationship between the age of the car and its value.,B,,The question asks to describe the relationship between a car's age and its value.,Observe the overall trend of the plotted points.,"As we move from left to right along the horizontal axis (the car's age increases), the points on the scatterplot tend to be lower on the vertical axis (the car's value decreases).","This pattern represents a negative association: as one variable increases, the other tends to decrease.",Choice B correctly describes this negative association.,Choice A describes a positive association. Choice C would be a flat horizontal line of points. Choice D would be a random scattering of points with no clear trend. None of these match the graph.
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The graph above shows the number of calories a person burns while walking on a treadmill. According to the graph, approximately how many minutes does it take to burn 150 calories?",10,15,20,25,B,,"The question asks for the time it takes to burn a specific number of calories, 150.","This requires reading the graph starting from the vertical axis. Locate '150' on the vertical axis, which represents 'Calories Burned'.",Move horizontally to the right from the 150-calorie mark until you intersect the line graph.,"From that point of intersection, move vertically down to read the corresponding value on the horizontal axis, which represents 'Time (minutes)'.",The value on the horizontal axis is 15.,"Therefore, it takes approximately 15 minutes to burn 150 calories."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The line graph shows the height of a bean plant measured over a period of 10 days. Between which two consecutive days was the plant's growth the greatest?,Day 2 and Day 3,Day 4 and Day 5,Day 6 and Day 7,Day 8 and Day 9,C,,The question asks for the period with the greatest growth. Growth is an increase in height.,The greatest growth will be represented by the steepest upward-sloping line segment on the graph.,Visually compare the slopes of the segments between consecutive days.,"Let's estimate the growth for each interval: Day 2-3 (slight increase), Day 4-5 (moderate increase), Day 6-7 (sharp increase), Day 8-9 (moderate increase).",The line segment between Day 6 and Day 7 is visibly the steepest among the options.,"Therefore, the greatest growth occurred between Day 6 and Day 7."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above shows data for the number of practice hours per week and the number of errors made during a performance for a group of musicians. A line of best fit for the data is also shown. What is the number of errors predicted by the line of best fit for a musician who practices 8 hours per week?,3,5,7,9,A,,The question asks to use the line of best fit to predict the number of errors for a given number of practice hours.,"Find the value '8' on the horizontal axis, which represents 'Practice Hours per Week'.",Move vertically up from the 8-hour mark until you reach the line of best fit.,"From this point on the line, move horizontally to the left to read the value on the vertical axis, 'Number of Errors'.",The corresponding value on the vertical axis is 3.,"Therefore, the predicted number of errors for a musician who practices 8 hours a week is 3."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"A bathtub is being filled with water. The line graph shows the depth of the water at 1-minute intervals. What is the depth of the water, in centimeters (cm), after 4 minutes?",15 cm,20 cm,25 cm,30 cm,B,,"The question asks for the depth of the water at a specific time, 4 minutes.","Locate '4' on the horizontal axis, which represents 'Time (minutes)'.",Move vertically up from the 4-minute mark to the corresponding point on the line graph.,"From that data point, move horizontally to the left to find the value on the vertical axis, which represents 'Water Depth (cm)'.",The value on the vertical axis is 20.,"So, the depth of the water after 4 minutes is 20 cm."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above shows the relationship between wind speed and the amount of power generated by a windmill. Which statement best describes the association shown?,"As wind speed increases, the power generated tends to decrease.",Higher wind speed is associated with higher power generation.,There is no relationship between wind speed and power generation.,Power generation is highest when wind speed is lowest.,B,,The question asks to describe the relationship between wind speed and power generated.,Observe the general direction of the data points in the scatterplot.,"As you move from left to right along the horizontal axis (increasing wind speed), the data points tend to be higher on the vertical axis (increasing power generated).",This shows a positive association between the two variables.,"Choice B, 'Higher wind speed is associated with higher power generation,' accurately describes this positive relationship.","Choices A and D describe a negative association, and choice C suggests no association, both of which are incorrect."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"A farmer is draining a water tank. The line graph above shows the volume of water remaining in the tank over time. According to the graph, what was the volume of water, in liters, remaining in the tank after 3 hours?",1000,1500,2000,2500,B,,"The question asks to find the volume of water remaining at a specific time, 3 hours.","Locate '3' on the horizontal axis, which is labeled 'Time (hours)'.",Move vertically up from the 3-hour mark to the point on the line graph.,"From this point, move horizontally to the left to read the corresponding value on the vertical axis, labeled 'Volume (liters)'.",The value on the vertical axis is 1500.,"Therefore, 1500 liters of water remained in the tank after 3 hours."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,The scatterplot above shows how the time it takes to mow a lawn relates to the size of the lawn. The line of best fit is also shown. Which of the following equations could represent the line of best fit?,y = 0.5x + 10,y = -0.5x + 10,y = 0.5x - 10,y = -0.5x - 10,A,,The question asks for a possible equation of the line of best fit from the given options.,"First, analyze the slope of the line. As the lawn size (x-axis) increases, the time required (y-axis) also increases. This indicates a positive slope. This eliminates options B and D, which have negative slopes.","Next, analyze the y-intercept, which is the value of y when x=0. The line of best fit crosses the y-axis at a positive value, which looks to be around +10.","Now let's compare the remaining options A and C. Option A, y = 0.5x + 10, has a positive slope and a positive y-intercept ($+10$). Option C, y = 0.5x - 10, has a positive slope but a negative y-intercept ($-10$).","Based on the visual evidence from the graph, the line has a positive slope and a positive y-intercept. Option A is the only choice that matches both these characteristics.",
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The line graph above shows the temperature in a city over a 12-hour period, starting at midnight. In which hour was the temperature the lowest?",2 a.m.,4 a.m.,6 a.m.,8 a.m.,B,,The question asks to identify the time when the temperature was the lowest.,"On the line graph, the vertical axis represents temperature. The lowest temperature corresponds to the lowest point on the graph.",Examine the data points for each hour shown on the graph.,The point corresponding to 4 a.m. is lower than all other points on the graph.,"Therefore, the temperature was lowest at 4 a.m.",
