test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,explanation_latex
Math,Algebra,Linear equations in one variable,Easy,"If [Math: one half x, minus one sixth x, = 1], what is the value of x ?",[Math: - 4],[Math: one third],3,6,C,,"Choice C is correct. To make it easier to add like terms on the left-hand side of the given equation, both sides of the equation can be multiplied by 6, which is the lowest common denominator of [Math: one half] and [Math: one sixth]. This yields [Math: 3 x minus x, = 6], which can be rewritten as [Math: 2 x = 6]. Dividing both sides of this equation by 2 yields [Math: x = 3].Choice A is incorrect and may result from subtracting the denominators instead of numerators with common denominators to get [Math: - one fourth x], rather than [Math: one third x], on the left-hand side of the equation. Choice B is incorrect and may result from rewriting the given equation as [Math: one half x, = one sixth] instead of [Math: 2 x = 6]. Choice D is incorrect and may result from conceptual or computational errors."
Math,Algebra,Linear functions,Hard,Some values of the linear function f are shown in the table above. What is the value of [Math: f of 3]?,6,7,8,9,B,,"Choice B is correct. A linear function has a constant rate of change, and any two rows of the table shown can be used to calculate this rate. From the first row to the second, the value of x is increased by 2 and the value of [Math: f of x] is increased by [Math: 6 =, 4 minus - 2]. So the values of [Math: f of x] increase by 3 for every increase by 1 in the value of x. Since [Math: f of 2, = 4], it follows that [Math: f of, open parenthesis, 2 + 1, close parenthesis, =, 4 + 3, which = 7]. Therefore, [Math: f of 3, = 7].Choice A is incorrect. This is the third x-value in the table, not [Math: f of 3]. Choices C and D are incorrect and may result from errors when calculating the function’s rate of change."
Math,Algebra,Linear inequalities in one or two variables,Easy,"During spring migration, a dragonfly traveled a minimum of $1,510$ miles and a maximum of $4,130$ miles between stopover locations. Which inequality represents this situation, where $d$ is a possible distance, in miles, this dragonfly traveled between stopover locations during spring migration?","$d \leq 1,510$","$1,510 \leq d \leq 4,130$","$d \geq 4,130$","$4,130 \leq d \leq 5,640$",B,,"Choice B is correct. It's given that during spring migration, a dragonfly traveled a minimum of $1,510$ miles and a maximum of $4,130$ miles between stopover locations. It's also given that $d$ represents a possible distance, in miles, this dragonfly traveled between stopover locations. It follows that the inequality $1,510 \leq d \leq 4,130$ represents this situation. Choice A is incorrect. This inequality represents a situation in which a dragonfly traveled a maximum of $1,510$ miles between stopover locations. Choice C is incorrect. This inequality represents a situation in which a dragonfly traveled a minimum of $4,130$ miles between stopover locations. Choice D is incorrect. This inequality represents a situation in which a dragonfly traveled a minimum of $4,310$ miles and a maximum of $5,640$ miles between stopover locations."
Math,Algebra,Linear functions,Hard,"A company’s total cost [Math: c of x], in dollars, to produce x shirts is given by the function above, where m is a constant and [Math: x is greater than 0]. The total cost to produce 100 shirts is $800. What is the total cost, in dollars, to produce 1000 shirts? (Disregard the $ sign when gridding your answer.)",,,,,,,"The correct answer is 3500. The given information includes a cost, $800, to produce 100 shirts. Substituting [Math: c of x = 800] and [Math: x = 100] into the given equation yields [Math: 800 =, m times 100, + 500]. Subtracting 500 from both sides of the equation yields [Math: 300 =, m times 100]. Dividing both sides of this equation by 100 yields [Math: 3 = m]. Substituting the value of m into the given equation yields [Math: c of x =, 3 x + 500]. Substituting 1000 for x in this equation and solving for [Math: c of x] gives the cost of 1000 shirts: [Math: 3 times 1000, + 500], or 3500."
Math,Algebra,Linear equations in two variables,Medium,"A machine makes large boxes or small boxes, one at a time, for a total of $700$ minutes each day. It takes the machine $10$ minutes to make a large box or $5$ minutes to make a small box. Which equation represents the possible number of large boxes, $x$, and small boxes, $y$, the machine can make each day?",$5 x + 10 y = 700$,$10 x + 5 y = 700$,$( x + y ) \left(10 + 5\right) = 700$,$( 10 + x ) \left(5 + y\right) = 700$,B,,"Choice B is correct. It’s given that it takes the machine $10$ minutes to make a large box. It's also given that $x$ represents the possible number of large boxes the machine can make each day. Multiplying $10$ by $x$ gives $10 x$, which represents the amount of time spent making large boxes. It’s given that it takes the machine $5$ minutes to make a small box. It's also given that $y$ represents the possible number of small boxes the machine can make each day. Multiplying $5$ by $y$ gives $5 y$, which represents the amount of time spent making small boxes. Combining the amount of time spent making $x$ large boxes and $y$ small boxes yields $10 x + 5 y$. It’s given that the machine makes boxes for a total of $700$ minutes each day. Therefore $10 x + 5 y = 700$ represents the possible number of large boxes, $x$, and small boxes, $y$, the machine can make each day. Choice A is incorrect and may result from associating the time of $10$ minutes with small, rather than large, boxes and the time of $5$ minutes with large, rather than small, boxes. Choice C is incorrect and may result from conceptual errors. Choice D is incorrect and may result from conceptual errors."
Math,Algebra,Systems of two linear equations in two variables,Hard,"If [Math: the ordered pair x , y] is the solution to the system of equations above, what is the value of [Math: 3 x + 3 y] ?",[Math: - 13],[Math: - 5],5,13,B,,"Choice B is correct. Subtracting the second equation, [Math: 4 x minus 8 y, = 9], from the first equation, [Math: 7 x minus 5 y, = 4], results in [Math: open parenthesis, 7 x minus 5 y, close parenthesis, minus, open parenthesis, 4 x minus 8 y, close parenthesis, =, 4 minus 9], or [Math: 7 x minus 5 y, minus 4 x, + 8 y, = 5]. Combining like terms on the left-hand side of this equation yields [Math: 3 x + 3 y, = - 5].Choice A is incorrect and may result from miscalculating [Math: 4 minus 9] as [Math: - 13]. Choice C is incorrect and may result from miscalculating [Math: 4 minus 9] as 5. Choice D is incorrect and may result from adding 9 to 4 instead of subtracting 9 from 4."
Math,Algebra,Linear inequalities in one or two variables,Medium,"Valentina bought two containers of beads. In the first container 30% of the beads are red, and in the second container 70% of the beads are red. Together, the containers have at least 400 red beads. Which inequality shows this relationship, where x is the total number of beads in the first container and y is the total number of beads in the second container?","[Math: 0 . 3 x, +, 0 . 7 y, is greater than or equal to, 400]","[Math: 0 . 7 x, +, 0 . 3 y, is less than or equal to, 400]","[Math: the fraction x over 3, end fraction, +, the fraction y over 7, end fraction, is less than or equal to, 400]","[Math: 30 x, +, 70 y, is greater than or equal to, 400]",A,,"Choice A is correct. It is given that x is the total number of beads in the first container and that 30% of those beads are red; therefore, the expression 0.3x represents the number of red beads in the first container. It is given that y is the total number of beads in the second container and that 70% of those beads are red; therefore, the expression 0.7y represents the number of red beads in the second container. It is also given that, together, the containers have at least 400 red beads, so the inequality that shows this relationship is 0.3x + 0.7y ≥ 400.Choice B is incorrect because it represents the containers having a total of at most, rather than at least, 400 red beads. Choice C is incorrect and may be the result of misunderstanding how to represent a percentage of beads in each container. Also, the inequality shows the containers having a combined total of at most, rather than at least, 400 red beads. Choice D is incorrect because the percentages were not converted to decimals."
Math,Algebra,Systems of two linear equations in two variables,Medium,"$y = - \frac{1}{9} x$ $y = \frac{1}{2} x$ The solution to the given system of equations is $\left(x , y\right)$. What is the value of $x$?",$- 9$,$- 7$,$0$,$2$,C,,Choice C is correct. It's given by the first equation in the system that $y = - \frac{1}{9} x$. Substituting $- \frac{1}{9} x$ for $y$ in the second equation in the system yields $- \frac{1}{9} x = \frac{1}{2} x$. Multiplying the left-hand side of this equation by $\frac{2}{2}$ and the right-hand side by $\frac{9}{9}$ yields $- \frac{2}{18} x = \frac{9}{18} x$. Adding $\frac{2}{18} x$ to both sides of this equation yields $0 = \frac{11}{18} x$. Multiplying both sides of this equation by $\frac{18}{11}$ yields $x = 0$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors.
Math,Algebra,Linear equations in two variables,Easy,An employee at a restaurant prepares sandwiches and salads. It takes the employee $1.5$ minutes to prepare a sandwich and $1.9$ minutes to prepare a salad. The employee spends a total of $46.1$ minutes preparing $x$ sandwiches and $y$ salads. Which equation represents this situation?,$1.9 x + 1.5 y = 46.1$,$1.5 x + 1.9 y = 46.1$,$x + y = 46.1$,$30.7 x + 24.3 y = 46.1$,B,,"Choice B is correct. It’s given that the employee takes $1.5$ minutes to prepare a sandwich. Multiplying $1.5$ by the number of sandwiches, $x$, yields $1.5 x$, the amount of time the employee spends preparing $x$ sandwiches. It’s also given that the employee takes $1.9$ minutes to prepare a salad. Multiplying $1.9$ by the number of salads, $y$, yields $1.9 y$, the amount of time the employee spends preparing $y$ salads. It follows that the total amount of time, in minutes, the employee spends preparing $x$ sandwiches and $y$ salads is $1.5 x + 1.9 y$. It's given that the employee spends a total of $46.1$ minutes preparing $x$ sandwiches and $y$ salads. Thus, the equation $1.5 x + 1.9 y = 46.1$ represents this situation. Choice A is incorrect. This equation represents a situation where it takes the employee $1.9$ minutes, rather than $1.5$ minutes, to prepare a sandwich and $1.5$ minutes, rather than $1.9$ minutes, to prepare a salad. Choice C is incorrect. This equation represents a situation where it takes the employee $1$ minute, rather than $1.5$ minutes, to prepare a sandwich and $1$ minute, rather than $1.9$ minutes, to prepare a salad. Choice D is incorrect. This equation represents a situation where it takes the employee $30.7$ minutes, rather than $1.5$ minutes, to prepare a sandwich and $24.3$ minutes, rather than $1.9$ minutes, to prepare a salad."
Math,Algebra,Linear inequalities in one or two variables,Medium,$y > 4 x + 8$ For which of the following tables are all the values of $x$ and their corresponding values of $y$ solutions to the given inequality?,| $x$ | $y$ | | --- | --- | | $2$ | $19$ | | $4$ | $30$ | | $6$ | $41$ |,| $x$ | $y$ | | --- | --- | | $2$ | $8$ | | $4$ | $16$ | | $6$ | $24$ |,| $x$ | $y$ | | --- | --- | | $2$ | $13$ | | $4$ | $18$ | | $6$ | $23$ |,| $x$ | $y$ | | --- | --- | | $2$ | $13$ | | $4$ | $21$ | | $6$ | $29$ |,A,,"Choice A is correct. In each choice, the values of $x$ are $2$, $4$, and $6$. Substituting the first value of $x$, $2$, for $x$ in the given inequality yields $y > 4 \left(2\right) + 8$, or $y > 16$. Therefore, when $x = 2$, the corresponding value of $y$ must be greater than $16$. Of the given choices, only choice A is a table where the value of $y$ corresponding to $x = 2$ is greater than $16$. To confirm that the other values of $x$ in this table and their corresponding values of $y$ are also solutions to the given inequality, the values of $x$ and $y$ in the table can be substituted for $x$ and $y$ in the given inequality. Substituting $4$ for $x$ and $30$ for $y$ in the given inequality yields $30 > 4 \left(4\right) + 8$, or $30 > 24$, which is true. Substituting $6$ for $x$ and $41$ for $y$ in the given inequality yields $41 > 4 \left(6\right) + 8$, or $41 > 32$, which is true. It follows that for choice A, all the values of $x$ and their corresponding values of $y$ are solutions to the given inequality. Choice B is incorrect. Substituting $2$ for $x$ and $8$ for $y$ in the given inequality yields $8 > 4 \left(2\right) + 8$, or $8 > 16$, which is false. Choice C is incorrect. Substituting $2$ for $x$ and $13$ for $y$ in the given inequality yields $13 > 4 \left(2\right) + 8$, or $13 > 16$, which is false. Choice D is incorrect. Substituting $2$ for $x$ and $13$ for $y$ in the given inequality yields $13 > 4 \left(2\right) + 8$, or $13 > 16$, which is false."
Math,Algebra,Linear functions,Easy,"Hana deposited a fixed amount into her bank account each month. The function $f \left(t\right) = 100 + 25 t$ gives the amount, in dollars, in Hana's bank account after $t$ monthly deposits. What is the best interpretation of $25$ in this context?","With each monthly deposit, the amount in Hana's bank account increased by $\$ 25$.","Before Hana made any monthly deposits, the amount in her bank account was $\$ 25$.","After $1$ monthly deposit, the amount in Hana's bank account was $\$ 25$.",Hana made a total of $25$ monthly deposits.,A,,"Choice A is correct. It's given that $t$ represents the number of monthly deposits. In the given function $f \left(t\right) = 100 + 25 t$, the coefficient of $t$ is $25$. This means that for every increase in the value of $t$ by $1$, the value of $f \left(t\right)$ increases by $25$. It follows that with each monthly deposit, the amount in Hana's bank account increased by $\$ 25$. Choice B is incorrect. Before Hana made any monthly deposits, the amount in her bank account was $\$ 100$. Choice C is incorrect. After $1$ monthly deposit, the amount in Hana's bank account was $\$ 125$. Choice D is incorrect and may result from conceptual errors."
Math,Algebra,Linear equations in two variables,Medium,"A city is planning to build a rock retaining wall, a monument, and a garden in a park. The table above shows four rock types that will be considered for use in the project. Also shown for each rock type is its weight per volume, in pounds per cubic foot (lb/ft3), and the cost per pound, in dollars. Only basalt, granite, and limestone will be used in the garden. The rocks in the garden will have a total weight of 1,000 pounds. If 330 pounds of granite is used, which of the following equations could show the relationship between the amounts, x and y, in ft3, for each of the other rock types used?","[Math: 165 x, +, 180 y, = 670]","[Math: 165 x, +, 120 y, =, 1,000]","[Math: 120 x, +, 180 y, = 670]","[Math: 120 x, +, 180 y, =, 1,000]",C,,"Choice C is correct. It’s given that the weight of the granite used in the garden is 330 pounds. The weight of the limestone used in the garden is a product of its weight per volume, in lb/ft3, and its volume, in ft3. Therefore, the weight of the limestone used in the garden can be represented by [Math: 120 x], where x is the volume, in ft3, of the limestone used. Similarly, the weight of the basalt used in the garden can be represented by [Math: 180 y], where y is the volume, in ft3, of the basalt used. It’s given that the total weight of the rocks used in the garden will be 1,000 pounds. Thus, the sum of the weights of the three rock types used is 1,000 pounds, which can be represented by the equation [Math: 120 x, + 180 y, + 330, = 1,000]. Subtracting 330 from both sides of this equation yields [Math: 120 x, + 180 y, = 670].Choice A is incorrect. This equation uses the weight per volume of granite instead of limestone. Choice B is incorrect. This equation uses the weight per volume of granite instead of basalt, and doesn’t take into account the 330 pounds of granite that will be used in the garden. Choice D is incorrect. This equation doesn’t take into account the 330 pounds of granite that will be used in the garden."
Math,Algebra,Linear functions,Hard,"$f \left(x\right) = 2 x + 244$ The given function $f$ represents the perimeter, in $\text{centimeters} \left(\text{cm}\right)$, of a rectangle with a length of $x \text{cm}$ and a fixed width. What is the width, in $\text{cm}$, of the rectangle?",$2$,$122$,$244$,$488$,B,,"Choice B is correct. It's given that $f \left(x\right) = 2 x + 244$ represents the perimeter, in $\text{centimeters} \left(\right. \text{cm} \left.\right)$, of a rectangle with a length of $x$ $cm$ and a fixed width. If $w$ represents a fixed width, in $\text{cm}$, then the perimeter, in $\text{cm}$, of a rectangle with a length of $x$ $\text{cm}$ and a fixed width of $w$ $\text{cm}$ can be given by the function $f \left(x\right) = 2 x + 2 w$. Therefore, $2 x + 2 w = 2 x + 244$. Subtracting $2 x$ from both sides of this equation yields $2 w = 244$. Dividing both sides of this equation by $2$ yields $w = 122$. Therefore, the width, in $\text{cm}$, of the rectangle is $122$. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Algebra,Linear equations in one variable,Hard,"In the equation above, a and b are constants. If the equation has infinitely many solutions, what are the values of a and b ?",[Math: a = 2] and [Math: b = 1],[Math: a = 2] and [Math: b = 7],[Math: a = - 2] and [Math: b = 5],[Math: a = - 2] and [Math: b = - 5],B,,"Choice B is correct. Distributing the a on the left-hand side of the equation gives 3a – b – ax = –1 – 2x. Rearranging the terms in each side of the equation yields –ax + 3a – b = –2x –1. Since the equation has infinitely many solutions, it follows that the coefficients of x and the free terms on both sides must be equal. That is, –a = –2, or a = 2, and 3a – b = –1. Substituting 2 for a in the equation 3a – b = –1 gives 3(2) – b = –1, so b = 7.Choice A is incorrect and may be the result of a conceptual error when finding the value of b. Choices C and D are incorrect and may result from making a sign error when simplifying."
