test,domain,skill,difficulty,question_text_plain,question_text_latex,figure_description,option_A,option_B,option_C,option_D,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,explanation_plain,explanation_latex
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Easy,"The scatterplot shows the relationship between two variables, x and y. Which of the following graphs shows the most appropriate model for the data?","The scatterplot shows the relationship between two variables, $x$ and $y$. Which of the following graphs shows the most appropriate model for the data?","A scatterplot in the x y plane with the origin labeled O. The x axis ranges from 0 to 7. The y axis ranges from 0 to 5,000. Refer to long description.","*{stroke-linecap:butt;stroke-linejoin:round;} The scatterplot has 8 data points. The data points are in an exponential pattern trending up from left to right. A line of best fit is shown: The line of best fit slants up from left to right. 0 points are touching the line of best fit. 1 point is above the line of best fit. 7 points are below the line of best fit. The line of best fit passes through the following approximate coordinates: (0 comma 0) (6 comma 4,290)",The scatterplot has 8 data points.,The data points are in an exponential pattern trending up from left to right.,"A line of best fit is shown: The line of best fit slants up from left to right. 0 points are touching the line of best fit. 1 point is above the line of best fit. 7 points are below the line of best fit. The line of best fit passes through the following approximate coordinates: (0 comma 0) (6 comma 4,290)","*{stroke-linecap:butt;stroke-linejoin:round;} The scatterplot has 8 data points. The data points are in an exponential pattern trending up from left to right. A line of best fit is shown: The line of best fit slants up from left to right. 0 points are touching the line of best fit. 1 point is above the line of best fit. 7 points are below the line of best fit. The line of best fit passes through the following approximate coordinates: (0 comma 0) (6 comma 4,290)",The scatterplot has 8 data points.,The data points are in an exponential pattern trending up from left to right.,"A line of best fit is shown: The line of best fit slants up from left to right. 0 points are touching the line of best fit. 1 point is above the line of best fit. 7 points are below the line of best fit. The line of best fit passes through the following approximate coordinates: (0 comma 0) (6 comma 4,290)",D,,"Choice D is correct. An appropriate model should follow the trend of the data points and should have data points both above and below the model. The scatterplot shows that the data points have an increasing trend that is curved. Therefore, an appropriate model should be an increasing curve with data points both above and below the model. Of the given choices, only the model in choice D is an increasing curve with data points both above and below the model. Choice A is incorrect. Since the trend of the data points isn't linear, a line isn't the most appropriate model for the data. Choice B is incorrect. Since the trend of the data points is increasing and isn't linear, a decreasing line isn't the most appropriate model for the data. Choice C is incorrect. All the data points are below the model shown in this graph.","Choice D is correct. An appropriate model should follow the trend of the data points and should have data points both above and below the model. The scatterplot shows that the data points have an increasing trend that is curved. Therefore, an appropriate model should be an increasing curve with data points both above and below the model. Of the given choices, only the model in choice D is an increasing curve with data points both above and below the model. Choice A is incorrect. Since the trend of the data points isn't linear, a line isn't the most appropriate model for the data. Choice B is incorrect. Since the trend of the data points is increasing and isn't linear, a decreasing line isn't the most appropriate model for the data. Choice C is incorrect. All the data points are below the model shown in this graph."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Medium,"The graph shows the momentum y, in newton-seconds, of an object x seconds after the object started moving, for 0≤x≤8. What is the average rate of change, in newton-seconds per second, in the momentum of the object from x=2 to x=6?","The graph shows the momentum $y$, in newton-seconds, of an object $x$ seconds after the object started moving, for $0 \leq x \leq 8$. What is the average rate of change, in newton-seconds per second, in the momentum of the object from $x = 2$ to $x = 6$?","Graph of a curve in the x y plane with the origin labeled O. The x axis is labeled Time, in seconds. It ranges from 0 to 9 in increments of 1. The y axis is labeled Momentum, in newton-seconds. It ranges from 0 to 11 in increments of 1. Refer to long description.",,,,,,,,,".5, 1/2",".5, 1/2","The correct answer is 12. For the graph shown, x represents time, in seconds, and y represents momentum, in newton-seconds. Therefore, the average rate of change, in newton-seconds per second, in the momentum of the object between two x-values is the difference in the corresponding y-values divided by the difference in the x-values. The graph shows that at x=2, the corresponding y-value is 6. The graph also shows that at x=6, the corresponding y-value is 8. It follows that the average rate of change, in newton-seconds per second, from x=2 to x=6 is 8-66-2, which is equivalent to 24, or 12. Note that 1/2 and .5 are examples of ways to enter a correct answer.","The correct answer is $\frac{1}{2}$. For the graph shown, $x$ represents time, in seconds, and $y$ represents momentum, in newton-seconds. Therefore, the average rate of change, in newton-seconds per second, in the momentum of the object between two x-values is the difference in the corresponding y-values divided by the difference in the x-values. The graph shows that at $x = 2$, the corresponding y-value is $6$. The graph also shows that at $x = 6$, the corresponding y-value is $8$. It follows that the average rate of change, in newton-seconds per second, from $x = 2$ to $x = 6$ is $\frac{8 - 6}{6 - 2}$, which is equivalent to $\frac{2}{4}$, or $\frac{1}{2}$. Note that 1/2 and .5 are examples of ways to enter a correct answer."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,The bar graph shows the distribution of the number of walnuts per container for 20 containers at a grocery store. How many of these containers of walnuts contain exactly 78 walnuts?,The bar graph shows the distribution of the number of walnuts per container for $20$ containers at a grocery store. How many of these containers of walnuts contain exactly $78$ walnuts?,A bar graph. The horizontal axis is labeled Number of walnuts per container. 4 bars are shown. The vertical axis is labeled Frequency. It ranges from 0 to 8 in increments of 1. Refer to long description.,2,7,20,78,$2$,$7$,$20$,$78$,B,,"Choice B is correct. The height of each bar in the graph shown represents the number of containers that contain the number of walnuts specified at the bottom of the bar. The bar for 78 walnuts has a height of 7. Therefore, 7 of these containers of walnuts contain exactly 78 walnuts. Choice A is incorrect. This is the number of containers that contain exactly 75 walnuts, not 78 walnuts. Choice C is incorrect. This is the total number of containers of walnuts represented in the bar graph, not the number that contain exactly 78 walnuts. Choice D is incorrect. This is the number of walnuts in a container that contains exactly 78 walnuts, not the number of containers that contain exactly 78 walnuts.","Choice B is correct. The height of each bar in the graph shown represents the number of containers that contain the number of walnuts specified at the bottom of the bar. The bar for $78$ walnuts has a height of $7$. Therefore, $7$ of these containers of walnuts contain exactly $78$ walnuts. Choice A is incorrect. This is the number of containers that contain exactly $75$ walnuts, not $78$ walnuts. Choice C is incorrect. This is the total number of containers of walnuts represented in the bar graph, not the number that contain exactly $78$ walnuts. Choice D is incorrect. This is the number of walnuts in a container that contains exactly $78$ walnuts, not the number of containers that contain exactly $78$ walnuts."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,A data set consists of 173 colors. The bar graph shows the number of times each color appears in the data set. Which color appears 70 times?,A data set consists of $173$ colors. The bar graph shows the number of times each color appears in the data set. Which color appears $70$ times?,A bar graph. The horizontal axis is labeled Color. 4 bars are shown. The vertical axis is labeled Frequency. It ranges from 0 to 80 in increments of 10. Refer to long description.,Blue,Green,Red,Yellow,Blue,Green,Red,Yellow,B,,"Choice B is correct. It's given that a data set consists of 173 colors and the bar graph shows the number of times each color appears in the data set. Therefore, for each color specified at the bottom of the bar, the frequency corresponds to the number of times that color appears in the data set. The color that appears 70 times in the data set has a frequency of 70 on the bar graph. Since the bar with a frequency of 70 corresponds to green, green is the color that appears 70 times. Choice A is incorrect. The color blue appears about 27 times, not 70 times. Choice C is incorrect. The color red appears about 33 times, not 70 times. Choice D is incorrect. The color yellow appears about 43 times, not 70 times.","Choice B is correct. It's given that a data set consists of $173$ colors and the bar graph shows the number of times each color appears in the data set. Therefore, for each color specified at the bottom of the bar, the frequency corresponds to the number of times that color appears in the data set. The color that appears $70$ times in the data set has a frequency of $70$ on the bar graph. Since the bar with a frequency of $70$ corresponds to green, green is the color that appears $70$ times. Choice A is incorrect. The color blue appears about $27$ times, not $70$ times. Choice C is incorrect. The color red appears about $33$ times, not $70$ times. Choice D is incorrect. The color yellow appears about $43$ times, not $70$ times."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Medium,"In the given scatterplot, a line of best fit for the data is shown. Which of the following is closest to the slope of this line of best fit?","In the given scatterplot, a line of best fit for the data is shown. Which of the following is closest to the slope of this line of best fit?",A scatterplot in the x y plane with the origin labeled O. The x axis ranges from 0 to 10 in increments of 1. The y axis ranges from 0 to 10 in increments of 1. Refer to long description.,7,0.7,-0.7,-7,$7$,$0.7$,$- 0.7$,$- 7$,C,,"Choice C is correct. A line of best fit is shown in the scatterplot such that as the value of x increases, the value of y decreases. It follows that the slope of the line of best fit shown is negative. The slope of a line in the xy-plane that passes through the points x1,y1 and x2,y2 can be calculated as y2-y1x2-x1. The line of best fit shown passes approximately through the points 0,8 and 10,1. Substituting 0,8 for x1,y1 and 10,1 for x2,y2 in y2-y1x2-x1 yields the slope of the line being approximately 1-810-0, which is equivalent to -710, or -0.7. Therefore, of the given choices, -0.7 is the closest to the slope of this line of best fit. Choice A is incorrect. The line of best fit shown has a negative slope, not a positive slope. Choice B is incorrect. The line of best fit shown has a negative slope, not a positive slope. Choice D is incorrect and may result from conceptual or calculation errors.","Choice C is correct. A line of best fit is shown in the scatterplot such that as the value of $x$ increases, the value of $y$ decreases. It follows that the slope of the line of best fit shown is negative. The slope of a line in the xy-plane that passes through the points $\left(x_{1} , y_{1}\right)$ and $\left(x_{2} , y_{2}\right)$ can be calculated as $\frac{y_{2} - y_{1}}{x_{2} - x_{1}}$. The line of best fit shown passes approximately through the points $\left(0 , 8\right)$ and $\left(10 , 1\right)$. Substituting $\left(0 , 8\right)$ for $\left(x_{1} , y_{1}\right)$ and $\left(10 , 1\right)$ for $\left(x_{2} , y_{2}\right)$ in $\frac{y_{2} - y_{1}}{x_{2} - x_{1}}$ yields the slope of the line being approximately $\frac{1 - 8}{10 - 0}$, which is equivalent to $\frac{- 7}{10}$, or $- 0.7$. Therefore, of the given choices, $- 0.7$ is the closest to the slope of this line of best fit. Choice A is incorrect. The line of best fit shown has a negative slope, not a positive slope. Choice B is incorrect. The line of best fit shown has a negative slope, not a positive slope. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Hard,"The scatterplot shows the relationship between two variables, x and y, for data set E. A line of best fit is shown. Data set F is created by multiplying the y-coordinate of each data point from data set E by 3.9. Which of the following could be an equation of a line of best fit for data set F?","The scatterplot shows the relationship between two variables, $x$ and $y$, for data set E. A line of best fit is shown. Data set F is created by multiplying the y-coordinate of each data point from data set E by $3.9$. Which of the following could be an equation of a line of best fit for data set F?",A scatterplot in the x y plane with the origin labeled O. The x axis ranges from 0 to 20. The y axis ranges from 0 to 50. Refer to long description.,y=46.8+5.9x,y=46.8+1.5x,y=12+5.9x,y=12+1.5x,$y = 46.8 + 5.9 x$,$y = 46.8 + 1.5 x$,$y = 12 + 5.9 x$,$y = 12 + 1.5 x$,A,,"Choice A is correct. An equation of a line of best fit for data set F can be written in the form y=a+bx, where a is the y-coordinate of the y-intercept of the line of best fit and b is the slope. The line of best fit shown for data set E has a y-intercept at approximately 0,12. It's given that data set F is created by multiplying the y-coordinate of each data point from data set E by 3.9. It follows that a line of best fit for data set F has a y-intercept at approximately 0,123.9, or 0,46.8. Therefore, the value of a is approximately 46.8. The slope of a line that passes through points x1,y1 and x2,y2 can be calculated as y2-y1x2-x1. Since the line of best fit shown for data set E passes approximately through the point 12,30, it follows that a line of best fit for data set F passes approximately through the point 12,303.9, or 12,117. Substituting 0,46.8 and 12,117 for x1,y1 and x2,y2, respectively, in y2-y1x2-x1 yields 117-46.812-0, which is equivalent to 70.212, or 5.85. Therefore, the value of b is approximately 5.85, or approximately 5.9. Thus, y=46.8+5.9x could be an equation of a line of best fit for data set F. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect. This could be an equation of a line of best fit for data set E, not data set F.","Choice A is correct. An equation of a line of best fit for data set F can be written in the form $y = a + b x$, where $a$ is the y-coordinate of the y-intercept of the line of best fit and $b$ is the slope. The line of best fit shown for data set E has a y-intercept at approximately $\left(0 , 12\right)$. It's given that data set F is created by multiplying the y-coordinate of each data point from data set E by $3.9$. It follows that a line of best fit for data set F has a y-intercept at approximately $\left(0 , 12 \left(3.9\right)\right)$, or $\left(0 , 46.8\right)$. Therefore, the value of $a$ is approximately $46.8$. The slope of a line that passes through points $\left(x_{1} , y_{1}\right)$ and $\left(x_{2} , y_{2}\right)$ can be calculated as $\frac{y_{2} - y_{1}}{x_{2} - x_{1}}$. Since the line of best fit shown for data set E passes approximately through the point $\left(12 , 30\right)$, it follows that a line of best fit for data set F passes approximately through the point $\left(12 , 30 \left(3.9\right)\right)$, or $\left(12 , 117\right)$. Substituting $\left(0 , 46.8\right)$ and $\left(12 , 117\right)$ for $\left(x_{1} , y_{1}\right)$ and $\left(x_{2} , y_{2}\right)$, respectively, in $\frac{y_{2} - y_{1}}{x_{2} - x_{1}}$ yields $\frac{117 - 46.8}{12 - 0}$, which is equivalent to $\frac{70.2}{12}$, or $5.85$. Therefore, the value of $b$ is approximately $5.85$, or approximately $5.9$. Thus, $y = 46.8 + 5.9 x$ could be an equation of a line of best fit for data set F. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect. This could be an equation of a line of best fit for data set E, not data set F."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Hard,Data set A and data set B each consist of 27 values. The table shows the frequencies of the values for each data set. Which of the following statements best compares the means of the two data sets?,Data set A and data set B each consist of $27$ values. The table shows the frequencies of the values for each data set. Which of the following statements best compares the means of the two data sets?,"Table with 6 rows and 3 columns: Value, Data set A frequency, Data set B frequency; Table with 6 rows and 3 columns: Value, Data set A frequency, Data set B frequency",The mean of data set A is greater than the mean of data set B.,The mean of data set A is less than the mean of data set B.,The mean of data set A is equal to the mean of data set B.,There is not enough information to compare the means of the data sets.,The mean of data set A is greater than the mean of data set B.,The mean of data set A is less than the mean of data set B.,The mean of data set A is equal to the mean of data set B.,There is not enough information to compare the means of the data sets.,A,,"Choice A is correct. The mean value of a data set is the sum of the values of the data set divided by the number of values in the data set. When a data set is represented in a frequency table, the sum of the values in the data set is the sum of the products of each value and its frequency. For data set A, the sum of products of each value and its frequency is 302+344+385+427+469, or 1,094. It's given that there are 27 values in data set A. Therefore, the mean of data set A is 1,09427, or approximately 40.52. Similarly, the mean of data B is 95827, or approximately 35.48. Therefore, the mean of data set A is greater than the mean of data set B. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors.","Choice A is correct. The mean value of a data set is the sum of the values of the data set divided by the number of values in the data set. When a data set is represented in a frequency table, the sum of the values in the data set is the sum of the products of each value and its frequency. For data set A, the sum of products of each value and its frequency is $30 \left(2\right) + 34 \left(4\right) + 38 \left(5\right) + 42 \left(7\right) + 46 \left(9\right)$, or $1,094$. It's given that there are $27$ values in data set A. Therefore, the mean of data set A is $\frac{1,094}{27}$, or approximately $40.52$. Similarly, the mean of data B is $\frac{958}{27}$, or approximately $35.48$. Therefore, the mean of data set A is greater than the mean of data set B. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Medium,"During a study, the temperature, in degrees Celsius °C, of the air in a chamber was recorded to the nearest integer at certain times. The scatterplot shows the recorded temperature y, in °C, of the air in the chamber x minutes after the start of the study. What was the average rate of change, in °C per minute, of the recorded temperature of the air in the chamber from x=5 to x=7?","During a study, the temperature, $\text{in} \text{degrees} \text{Celsius} \left(\circ \text{C}\right)$, of the air in a chamber was recorded to the nearest integer at certain times. The scatterplot shows the recorded temperature $y$, $\text{in} \circ \text{C}$, of the air in the chamber $x$ minutes after the start of the study. What was the average rate of change, $\text{in} \circ \text{C}$ per minute, of the recorded temperature of the air in the chamber from $x = 5$ to $x = 7$?","A scatterplot in the x y plane with the origin labeled O. The x axis is labeled Time, in minutes. It ranges from 0 to 8 in increments of 1. The y axis is labeled Temperature, in degree upper C. It ranges from 0 to 30 in increments of 2. Refer to long description.",,,,,,,,,5,5,"The correct answer is 5. For the graph shown, x represents time, in minutes, and y represents temperature, in degrees Celsius °C. Therefore, the average rate of change, in °C per minute, of the recorded temperature of the air in the chamber between two x-values is the difference in the corresponding y-values divided by the difference in the x-values. The graph shows that at x=5, the corresponding y-value is 14. The graph also shows that at x=7, the corresponding y-value is 24. It follows that the average rate of change, in °C per minute, from x=5 to x=7 is 24-147-5, which is equivalent to 102, or 5.","The correct answer is $5$. For the graph shown, $x$ represents time, in minutes, and $y$ represents temperature, in degrees Celsius $\left(\circ \text{C}\right)$. Therefore, the average rate of change, in $\circ \text{C}$ per minute, of the recorded temperature of the air in the chamber between two x-values is the difference in the corresponding y-values divided by the difference in the x-values. The graph shows that at $x = 5$, the corresponding y-value is $14$. The graph also shows that at $x = 7$, the corresponding y-value is $24$. It follows that the average rate of change, in $\circ \text{C}$ per minute, from $x = 5$ to $x = 7$ is $\frac{24 - 14}{7 - 5}$, which is equivalent to $\frac{10}{2}$, or $5$."
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"The table gives the distribution of votes for a new school mascot and grade level for 80 students. If one of these students is selected at random, what is the probability of selecting a student whose vote for new mascot was for a lion?","The table gives the distribution of votes for a new school mascot and grade level for $80$ students. | Mascot | Grade level | | --- | --- | | Sixth | Seventh | Eighth | Total | | Badger | $4$ | $9$ | $9$ | $22$ | | Lion | $9$ | $2$ | $9$ | $20$ | | Longhorn | $4$ | $6$ | $4$ | $14$ | | Tiger | $6$ | $9$ | $9$ | $24$ | | Total | $23$ | $26$ | $31$ | $80$ | If one of these students is selected at random, what is the probability of selecting a student whose vote for new mascot was for a lion?","Table with 7 rows and 2 columns: 'Mascot' and 'Grade level'; Table with 5 rows and 5 columns: Badger, 4, 9, 9, 22",19,15,14,23,$\frac{1}{9}$,$\frac{1}{5}$,$\frac{1}{4}$,$\frac{2}{3}$,C,,"Choice C is correct. If one of these students is selected at random, the probability of selecting a student whose vote for the new mascot was for a lion is given by the number of votes for a lion divided by the total number of votes. The given table indicates that the number of votes for a lion is 20 votes, and the total number of votes is 80 votes. The table gives the distribution of votes for 80 students, and the table shows a total of 80 votes were counted. It follows that each of the 80 students voted exactly once. Thus, the probability of selecting a student whose vote for the new mascot was for a lion is 2080, or 14. Choice A is incorrect and may result from conceptual or computational errors. Choice B is incorrect and may result from conceptual or computational errors. Choice D is incorrect and may result from conceptual or computational errors.","Choice C is correct. If one of these students is selected at random, the probability of selecting a student whose vote for the new mascot was for a lion is given by the number of votes for a lion divided by the total number of votes. The given table indicates that the number of votes for a lion is $20$ votes, and the total number of votes is $80$ votes. The table gives the distribution of votes for $80$ students, and the table shows a total of 80 votes were counted. It follows that each of the $80$ students voted exactly once. Thus, the probability of selecting a student whose vote for the new mascot was for a lion is $\frac{20}{80}$, or $\frac{1}{4}$. Choice A is incorrect and may result from conceptual or computational errors. Choice B is incorrect and may result from conceptual or computational errors. Choice D is incorrect and may result from conceptual or computational errors."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Medium,"The scatterplot shows the relationship between two variables, x and y. A line of best fit is also shown. Which of the following is closest to the slope of the line of best fit shown?","The scatterplot shows the relationship between two variables, $x$ and $y$. A line of best fit is also shown. Which of the following is closest to the slope of the line of best fit shown?","A scatterplot in the x y plane with the origin labeled O. The x axis ranges from 0 to 14 in increments of 1, with values marked every 2 grid lines. The y axis ranges from 0 to 15 in increments of 1, with values marked every 2 grid lines. Refer to long description.",-2.4,-0.8,0.8,2.4,$- 2.4$,$- 0.8$,$0.8$,$2.4$,B,,"Choice B is correct. A line of best fit is shown in the scatterplot such that as the value of x increases, the value of y decreases. Thus, the slope of the line of best fit shown is negative. The slope of a line passing through two points, x1,y1 and x2,y2, can be calculated as y2-y1x2-x1. The line of best fit shown passes approximately through the points 1,12 and 11,4. Substituting 1,12 and 11,4 for x1,y1 and x2,y2, respectively, in y2-y1x2-x1 gives 4-1211-1, which is equivalent to -810, or -0.8. Therefore, of the given choices, -0.8 is closest to the slope of the line of best fit shown. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect. The line of best fit shown has a negative slope, not a positive slope. Choice D is incorrect. The line of best fit shown has a negative slope, not a positive slope.","Choice B is correct. A line of best fit is shown in the scatterplot such that as the value of $x$ increases, the value of $y$ decreases. Thus, the slope of the line of best fit shown is negative. The slope of a line passing through two points, $\left(x_{1} , y_{1}\right)$ and $\left(x_{2} , y_{2}\right)$, can be calculated as $\frac{y_{2} - y_{1}}{x_{2} - x_{1}}$. The line of best fit shown passes approximately through the points $\left(1 , 12\right)$ and $\left(11 , 4\right)$. Substituting $\left(1 , 12\right)$ and $\left(11 , 4\right)$ for $\left(x_{1} , y_{1}\right)$ and $\left(x_{2} , y_{2}\right)$, respectively, in $\frac{y_{2} - y_{1}}{x_{2} - x_{1}}$ gives $\frac{4 - 12}{11 - 1}$, which is equivalent to $- \frac{8}{10}$, or $- 0.8$. Therefore, of the given choices, $- 0.8$ is closest to the slope of the line of best fit shown. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect. The line of best fit shown has a negative slope, not a positive slope. Choice D is incorrect. The line of best fit shown has a negative slope, not a positive slope."
Math,Problem-Solving and Data Analysis,Probability and conditional probability,Easy,"Each rock in a collection of 70 rocks was classified as either igneous, metamorphic, or sedimentary, as shown in the frequency table. If one of these rocks is selected at random, what is the probability of selecting a rock that is igneous?","Each rock in a collection of $70$ rocks was classified as either igneous, metamorphic, or sedimentary, as shown in the frequency table. If one of these rocks is selected at random, what is the probability of selecting a rock that is igneous?",Table with 4 rows and 2 columns: 'Classification' and 'Frequency'; Table with 4 rows and 2 columns: 'Classification' and 'Frequency',1027,1033,1060,1070,$\frac{10}{27}$,$\frac{10}{33}$,$\frac{10}{60}$,$\frac{10}{70}$,D,,"Choice D is correct. If one of the rocks in the collection is selected at random, the probability of selecting a rock that is igneous is equal to the number of igneous rocks in the collection divided by the total number of rocks in the collection. According to the table, there are 10 igneous rocks in the collection, and it's given that there's a total of 70 rocks in the collection. Therefore, if one of the rocks in the collection is selected at random, the probability of selecting a rock that is igneous is 1070. Choice A is incorrect. This is the number of igneous rocks in the collection divided by the number of sedimentary rocks in the collection, not divided by the total number of rocks in the collection. Choice B is incorrect. This is the number of igneous rocks in the collection divided by the number of metamorphic rocks in the collection, not divided by the total number of rocks in the collection. Choice C is incorrect. This is the number of igneous rocks in the collection divided by the number of rocks in the collection that aren't igneous, not divided by the total number of rocks in the collection.","Choice D is correct. If one of the rocks in the collection is selected at random, the probability of selecting a rock that is igneous is equal to the number of igneous rocks in the collection divided by the total number of rocks in the collection. According to the table, there are $10$ igneous rocks in the collection, and it's given that there's a total of $70$ rocks in the collection. Therefore, if one of the rocks in the collection is selected at random, the probability of selecting a rock that is igneous is $\frac{10}{70}$. Choice A is incorrect. This is the number of igneous rocks in the collection divided by the number of sedimentary rocks in the collection, not divided by the total number of rocks in the collection. Choice B is incorrect. This is the number of igneous rocks in the collection divided by the number of metamorphic rocks in the collection, not divided by the total number of rocks in the collection. Choice C is incorrect. This is the number of igneous rocks in the collection divided by the number of rocks in the collection that aren't igneous, not divided by the total number of rocks in the collection."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Easy,"Five Eretmochelys imbricata, a type of sea turtle, each have a nest. The table shows an original data set of the number of eggs that each turtle laid in its nest. A sixth nest with 121 eggs is added to create a new data set. Which of the following correctly compares the means of the two data sets?","Five Eretmochelys imbricata, a type of sea turtle, each have a nest. The table shows an original data set of the number of eggs that each turtle laid in its nest. A sixth nest with $121$ eggs is added to create a new data set. Which of the following correctly compares the means of the two data sets?",Table with 6 rows and 2 columns: 'Nest' and 'Number of eggs'; Table with 6 rows and 2 columns: 'Nest' and 'Number of eggs',The mean of the original data set is greater than the mean of the new data set.,The mean of the original data set is less than the mean of the new data set.,The means of both data sets are equal.,There is not enough information to compare the means.,The mean of the original data set is greater than the mean of the new data set.,The mean of the original data set is less than the mean of the new data set.,The means of both data sets are equal.,There is not enough information to compare the means.,A,,"Choice A is correct. It's given that the table shows an original data set of 5 values. It's also given that a sixth value is added to create a new data set. The new data set consists of the 5 values in the original data set and one additional value, 121. Since the additional value, 121, is less than any value in the original data set, the mean of the original data set is greater than the mean of the new data set. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors.","Choice A is correct. It's given that the table shows an original data set of $5$ values. It's also given that a sixth value is added to create a new data set. The new data set consists of the $5$ values in the original data set and one additional value, $121$. Since the additional value, $121$, is less than any value in the original data set, the mean of the original data set is greater than the mean of the new data set. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Problem-Solving and Data Analysis,One-variable data: Distributions and measures of center and spread,Hard,The two box plots show the distribution of number of books read over the summer by the students in two different English classes. What is the positive difference between the ranges of number of books read over the summer for the two classes?,The two box plots show the distribution of number of books read over the summer by the students in two different English classes. What is the positive difference between the ranges of number of books read over the summer for the two classes?,2 box plots labeled Class A and Class B. The number line is labeled Number of books. It ranges from 0 to 12. Refer to long description.,,,,,,,,,4,4,"The correct answer is 4. It's given that the two boxplots show the distribution of number of books read over the summer by the students in two different English classes. In a boxplot, the first vertical line represents the minimum value of the data set and the last vertical line represents the maximum value of the data set. The range of a data set is the difference between its maximum value and its minimum value. In class A, the maximum number of books read is 5 and the minimum number of books read is 0. The difference between those values is 5-0, or 5. Therefore, the range of the number of books read in class A is 5. In class B, the maximum number of books read is 10 and the minimum number of books read is 1. The difference between those values is 10-1, or 9. Therefore, the range of the number of books read in class B is 9. To find the positive difference between the ranges of the number of books read for the two classes, the smaller range must be subtracted from the larger range. Therefore, the positive difference between the ranges of number of books read over the summer for the two classes is 9-5, or 4.","The correct answer is $4$. It's given that the two boxplots show the distribution of number of books read over the summer by the students in two different English classes. In a boxplot, the first vertical line represents the minimum value of the data set and the last vertical line represents the maximum value of the data set. The range of a data set is the difference between its maximum value and its minimum value. In class A, the maximum number of books read is $5$ and the minimum number of books read is $0$. The difference between those values is $5 - 0$, or $5$. Therefore, the range of the number of books read in class A is $5$. In class B, the maximum number of books read is $10$ and the minimum number of books read is $1$. The difference between those values is $10 - 1$, or $9$. Therefore, the range of the number of books read in class B is $9$. To find the positive difference between the ranges of the number of books read for the two classes, the smaller range must be subtracted from the larger range. Therefore, the positive difference between the ranges of number of books read over the summer for the two classes is $9 - 5$, or $4$."
Math,Problem-Solving and Data Analysis,Two-variable data: Models and scatterplots,Medium,"The scatterplot shows the relationship between two variables, x and y. A line of best fit for the data is also shown. At x=25.5, which of the following is closest to the y-value predicted by the line of best fit?","The scatterplot shows the relationship between two variables, $x$ and $y$. A line of best fit for the data is also shown. At $x = 25.5$, which of the following is closest to the y-value predicted by the line of best fit?","A scatterplot. The x axis ranges from 0 to 36 in increments of 1, with values marked every 2 grid lines. A break in the axis indicates values between 0 and 23 have been omitted. The y axis ranges from 0 to 12 in increments of 1, with values marked every 2 grid lines. Refer to long description.",6.2,7.3,8.2,9.1,$6.2$,$7.3$,$8.2$,$9.1$,C,,"Choice C is correct. On the line of best fit, an x-value of 25.5 corresponds to a y-value between 8 and 8.5. Therefore, at x=25.5, 8.2 is closest to the y-value predicted by the line of best fit. Choice A is incorrect and may result from conceptual errors. Choice B is incorrect and may result from conceptual errors. Choice D is incorrect and may result from conceptual errors.","Choice C is correct. On the line of best fit, an x-value of $25.5$ corresponds to a y-value between $8$ and $8.5$. Therefore, at $x = 25.5$, $8.2$ is closest to the y-value predicted by the line of best fit. Choice A is incorrect and may result from conceptual errors. Choice B is incorrect and may result from conceptual errors. Choice D is incorrect and may result from conceptual errors."
